2019-09-24 16:52:41,020 - INFO - Checking if clamp-backend  is ready
2019-09-24 16:52:41,962 - INFO - clamp-backend is not ready.
2019-09-24 16:52:41,963 - INFO - clamp-backend is not ready.
2019-09-24 16:52:46,973 - INFO - Checking if clamp-backend  is ready
2019-09-24 16:52:47,875 - INFO - clamp-backend is not ready.
2019-09-24 16:52:52,887 - INFO - Checking if clamp-backend  is ready
2019-09-24 16:52:53,764 - INFO - clamp-backend is not ready.
2019-09-24 16:52:58,776 - INFO - Checking if clamp-backend  is ready
2019-09-24 16:52:59,648 - INFO - clamp-backend is not ready.
2019-09-24 16:53:04,659 - INFO - Checking if clamp-backend  is ready
2019-09-24 16:53:05,554 - INFO - clamp-backend is not ready.
2019-09-24 16:53:10,567 - INFO - Checking if clamp-backend  is ready
2019-09-24 16:53:11,435 - INFO - clamp-backend is not ready.
2019-09-24 16:53:16,447 - INFO - Checking if clamp-backend  is ready
2019-09-24 16:53:17,289 - INFO - clamp-backend is not ready.
2019-09-24 16:53:22,299 - INFO - Checking if clamp-backend  is ready
2019-09-24 16:53:23,146 - INFO - clamp-backend is not ready.
2019-09-24 16:53:28,157 - INFO - Checking if clamp-backend  is ready
2019-09-24 16:53:29,017 - INFO - clamp-backend is not ready.
2019-09-24 16:53:34,027 - INFO - Checking if clamp-backend  is ready
2019-09-24 16:53:34,915 - INFO - clamp-backend is not ready.
2019-09-24 16:53:39,925 - INFO - Checking if clamp-backend  is ready
2019-09-24 16:53:40,796 - INFO - clamp-backend is ready!
2019/09/24 16:53:43.261877 beat.go:285: INFO Home path: [/usr/share/filebeat] Config path: [/usr/share/filebeat] Data path: [/usr/share/filebeat/data] Logs path: [/usr/share/filebeat/logs]
2019/09/24 16:53:43.261903 beat.go:186: INFO Setup Beat: filebeat; Version: 5.5.0
2019/09/24 16:53:43.261950 logstash.go:90: INFO Max Retries set to: 3
2019/09/24 16:53:43.261985 outputs.go:108: INFO Activated logstash as output plugin.
2019/09/24 16:53:43.262048 publish.go:295: INFO Publisher name: cc697w-tdpi-clamp-clamp-67cdd4dc56-wwkrx
2019/09/24 16:53:43.262237 async.go:63: INFO Flush Interval set to: 1s
2019/09/24 16:53:43.262246 async.go:64: INFO Max Bulk Size set to: 2048
2019/09/24 16:53:43.262657 beat.go:221: INFO filebeat start running.
2019/09/24 16:53:43.262695 metrics.go:23: INFO Metrics logging every 30s
2019/09/24 16:53:43.262706 registrar.go:68: INFO No registry file found under: /usr/share/filebeat/data/registry. Creating a new registry file.
2019/09/24 16:53:43.287581 registrar.go:106: INFO Loading registrar data from /usr/share/filebeat/data/registry
2019/09/24 16:53:43.287617 registrar.go:123: INFO States Loaded from registrar: 0
2019/09/24 16:53:43.287693 crawler.go:38: INFO Loading Prospectors: 1
2019/09/24 16:53:43.287787 registrar.go:236: INFO Starting Registrar
2019/09/24 16:53:43.287835 sync.go:41: INFO Start sending events to output
2019/09/24 16:53:43.287877 spooler.go:63: INFO Starting spooler: spool_size: 2048; idle_timeout: 5s
2019/09/24 16:53:43.287946 prospector_log.go:65: INFO Prospector with previous states loaded: 0
2019/09/24 16:53:43.288030 prospector.go:124: INFO Starting prospector of type: log; id: 12576369028753478767 
2019/09/24 16:53:43.288038 crawler.go:58: INFO Loading and starting Prospectors completed. Enabled prospectors: 1
2019/09/24 16:54:13.262991 metrics.go:39: INFO Non-zero metrics in the last 30s: registrar.writes=1
2019/09/24 16:54:43.262964 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 16:55:13.262936 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 16:55:43.262919 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 16:56:13.262905 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 16:56:43.263031 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 16:57:13.263084 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 16:57:43.262952 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 16:58:13.262981 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 16:58:43.263033 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 16:59:13.262925 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 16:59:43.262985 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:00:13.262945 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:00:43.262946 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:01:13.263136 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:01:43.262941 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:02:13.262935 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:02:43.262916 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:03:13.262982 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:03:43.263040 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:04:13.262995 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:04:43.262937 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:05:13.262896 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:05:43.263010 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:06:13.263037 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:06:43.263025 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:07:13.263035 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:07:43.262953 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:08:13.262936 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:08:43.262902 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:09:13.262933 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:09:43.262912 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:10:13.262954 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:10:43.263019 metrics.go:34: INFO No non-zero metrics in the last 30s
